original_image,variant_image,transformation
images/beach.jpg,images_variants/beach/altered.png,altered_20%
images/beach.jpg,images_variants/beach/grayscale.png,grayscale
images/beach.jpg,images_variants/beach/covered.png,covered_30%
images/beach.jpg,images_variants/beach/dropout.png,grid_dropout_20%
images/beach.jpg,images_variants/beach/blurred.png,blur_radius_2
images/beach.jpg,images_variants/beach/brightened.png,brightened_1.5x
images/beach.jpg,images_variants/beach/darkened.png,darkened_0.5x
images/beach.jpg,images_variants/beach/resized.png,resized_50%
images/beach.jpg,images_variants/beach/resized_up.png,resized_up_200%
images/beach.jpg,images_variants/beach/contrasted.png,contrast_1.5x
images/beach.jpg,images_variants/beach/filtered.png,edge_filter
images/beach.jpg,images_variants/beach/channel_shifted.png,channel_shift_1
images/beach.jpg,images_variants/beach/cropped10.png,cropped_10%
images/beach.jpg,images_variants/beach/cropped20.png,cropped_20%
images/beach.jpg,images_variants/beach/cropped30.png,cropped_30%
images/beach.jpg,images_variants/beach/quality_adjusted_20.jpg,quality_20%
images/beach.jpg,images_variants/beach/quality_adjusted_50.jpg,quality_50%
images/beach.jpg,images_variants/beach/quality_adjusted_80.jpg,quality_80%
images/cho-shiba-mau-nau.png,images_variants/cho-shiba-mau-nau/altered.png,altered_20%
images/cho-shiba-mau-nau.png,images_variants/cho-shiba-mau-nau/grayscale.png,grayscale
images/cho-shiba-mau-nau.png,images_variants/cho-shiba-mau-nau/covered.png,covered_30%
images/cho-shiba-mau-nau.png,images_variants/cho-shiba-mau-nau/dropout.png,grid_dropout_20%
images/cho-shiba-mau-nau.png,images_variants/cho-shiba-mau-nau/blurred.png,blur_radius_2
images/cho-shiba-mau-nau.png,images_variants/cho-shiba-mau-nau/brightened.png,brightened_1.5x
images/cho-shiba-mau-nau.png,images_variants/cho-shiba-mau-nau/darkened.png,darkened_0.5x
images/cho-shiba-mau-nau.png,images_variants/cho-shiba-mau-nau/resized.png,resized_50%
images/cho-shiba-mau-nau.png,images_variants/cho-shiba-mau-nau/resized_up.png,resized_up_200%
